idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,MajDiam,mainClass,subClass
31787,134.3-43.2,Pre 8,T,01:26:36.00,+18:51:19.80,21.65000,18.85550,134.38116,-43.23319,96.0,R,a;r;
31791,338.9-17.5,Pre 13,T,18:17:30.93,-55:28:41.40,274.37888,-55.47817,338.93596,-17.53614,24.0,B,a;m;p;s;
31793,355.2-02.2,Pre 17,T,17:42:53.92,-34:09:01.80,265.72467,-34.15050,355.25175,-2.23393,6.0,E,r;
31797,027.6+10.5,Pre 21,T,18:04:19.60,+00:08:04.20,271.08167,0.13450,27.62201,10.52891,6.0,S,
31798,303.7-01.9,Pre 22,T,12:58:50.60,-64:48:34.40,194.71083,-64.80956,303.72025,-1.94914,6.0,E,
31810,355.6-02.9,SP J1746-3413,T,17:46:48.06,-34:13:42.3,266.70025,-34.22842,355.60604,-2.96334,5.0,S,
31811,001.7-02.1,CTIOJ175812.20-283436.9,T,17:58:12.20,-28:34:36.9,269.55083,-28.57692,1.71550,-2.18926,5.0,S,
31812,004.4-03.1a,CTIOJ180755.67-264114.1,T,18:07:55.67,-26:41:14.1,271.98196,-26.68725,4.42211,-3.13755,,S,
31813,357.9+02.9,CTIOJ172923.07-290500.9,T,17:29:23.07,-29:05:00.9,262.34613,-29.08358,357.97267,2.91785,5.0,E,
31814,000.4+03.3,CTIO J173348.40-264623.4,T,17:33:48.40,-26:46:23.4,263.45167,-26.77317,0.44528,3.36107,6.0,R,
31823,355.9-04.4a,CTIOJ175401.23-343958.7,T,17:54:01.23,-34:39:58.7,268.50512,-34.66631,355.98851,-4.46709,17.5,E,a;
31874,359.4-03.2,SP 1757-3103,T,17:57:06.52,-31:03:24.5,269.27717,-31.05681,359.44546,-3.22112,18.0,E,a;
31893,004.0-02.6a,SP J1805-2648,T,18:05:07.68,-26:48:38.0,271.28200,-26.81056,4.01015,-2.65111,34.0,E,a;
31913,166.6-14.7,Kn 132,T,04:14:21.2,30:23:30.84,63.58830,30.39190,166.61402,-14.78864,158.0,E,p;r;s;
31915,205.0+04.4,CaVa 1,T,06:52:52.59,09:04:22.70,103.21913,9.07297,205.00373,4.44038,480.0,R,a;s;
31929,084.3+03.1,Ra 67,T,20:36:07.2,46:01:52.2,309.03000,46.03117,84.31854,3.19091,9.0,R,r;
31931,290.8+00.5,Pre 43,T,11:12:27.35,-59:58:38.0,168.11396,-59.97722,290.84190,0.55052,46.0,E,a;s;
31969,248.4+02.1,Dr 3,T,08:11:58.34,-29:56:41.39,122.99308,-29.94483,248.42956,2.16840,104.0,R,a;
